,candidateID,Office,District type,District name,GeoID,Party,First Name,Last Name,Incumbent (Y/N),Issue Stance,edited issue stance for site,Source URL,Issue Tag 1,state
1637,AmiLBrooks.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Ami,Brooks,N,"Ami Brook believes that life begins in the womb, and unborn children have rights.","Believes that life begins in the womb, and unborn children have rights",http://www.amibrooks.com/issues.html,Abortion / Contraception,KY
1638,AmiLBrooks.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Ami,Brooks,N,Ami Brooks will fight to enact real reform that will make us competitive with our surrounding states.,Supports to enact real reform that will make us competitive with our surrounding states,http://www.amibrooks.com/issues.html,Economy,KY
1639,AmiLBrooks.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Ami,Brooks,N,Ami Brooks believes that taxpayers are entitled to know how their government is run and will sponsor legislation that supports more government transparency.,Supports more government transparency,http://www.amibrooks.com/issues.html,Transparency / Participation,KY
1640,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"Jason will oppose any additional restriction of the sale, use or possession of firearms or ammunition.","Opposes additional restriction of the sale, use or possession of firearms or ammunition",http://www.jasonkellypetrie.com/issues-1-1-1-1-1-1,Guns,KY
1641,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"Kentucky first must cease offering defined benefits and institute statewide defined contribution benefits so that Kentucky is required to place money in an individual's retirement on a current basis, rather than a promise of later","Believes Kentucky must cease offering defined benefits and institute statewide defined contribution benefits so that Kentucky is required to place money in an individual's retirement on a current basis, rather than a promise of later",http://www.jasonkellypetrie.com/issues-1-1-1-1,Pensions,KY
1642,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,entucky can create a better climate for job creation by passing legislation addressing its enormous pension debt,Supports passing legislation addressing its enormous pension debt,http://www.jasonkellypetrie.com/issues-1-1,Pensions,KY
1643,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"Further, spending must be decreased, especially in the immediate future","Believes spending must be decreased, especially in the immediate future",http://www.jasonkellypetrie.com/issues-1-1,Taxes / Budget,KY
1644,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"When Kentucky fully enforces its existing tax code, property taxes and lien system, revenue will increase significantly without creating one new tax.","Believes that fully enforcing the existing tax code, property taxes and lien system, revenue will increase significantly without creating one new tax",http://www.jasonkellypetrie.com/issues-1-1,Taxes / Budget,KY
1645,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"Jason will support legislation for additional transparency in the legislative, executive and judicial branches of the Commonwealth.","Supports legislation for additional transparency in the legislative, executive and judicial branches of the Commonwealth",http://www.jasonkellypetrie.com/issues-1-1-1-1-1-1,Transparency / Participation,KY
1646,JasonPetrie.StateRepresentative-16thRepresentativeDistrict.KY.2016,State Representative - 16th Representative District,State House,16,state,Republican,Jason,Petrie,N,"making Kentucky a ""right to work"" state","Supports making Kentucky a ""right to work"" state",http://www.jasonkellypetrie.com/issues-1-1,Wages / Benefits,KY
